placeId,title,pictureUrl,zipCode,roomType,numberBeds,rating,numberReviews,hostPlus,superHost,price,placeUrl
1,Quaint Getaway,NEED,14784,4 beds,3,1,41,0,1,880.00,#
2,Lovely Cottage,NEED,44977,3 beds,4,5,82,1,1,0.00,#
3,Lovely Retreat,NEED,20590,2 beds,1,4,12,0,0,612.00,#
4,Dreamy Nook,NEED,69060,2 beds,3,3,94,0,0,793.00,#
5,Spacious Nook,NEED,05337,1 bed,10,1,34,0,1,161.00,#
6,Dreamy Retreat,NEED,41527-5301,1 bed,1,4,80,0,1,527.00,#
7,Peaceful Getaway,NEED,37675-2906,3 beds,10,3,82,1,1,881.00,#
8,Lovely Getaway,NEED,14319-5944,1 bed,3,1,73,0,0,316.00,#
9,Quiet Getaway,NEED,90815,4 beds,6,5,19,1,1,240.00,#
10,Peaceful Retreat,NEED,37616-7833,2 beds,7,1,100,0,1,490.00,#
